sim	N	mat_dist	comp_dist	disp_fun	disp_dist	rep	ngen	sampling	migration
1	1000	10	0.5	brownian	1	1	1000	present	stationary
2	1000	10	0.5	brownian	1	2	1000	present	stationary
3	1000	10	0.5	brownian	1	3	1000	present	stationary
4	1000	10	0.5	brownian	1	1	1000	ancient	stationary
5	1000	10	0.5	brownian	1	2	1000	ancient	stationary
6	1000	10	0.5	brownian	1	3	1000	ancient	stationary
7	1000	10	0.5	brownian	1	1	1000	present	migrated
8	1000	10	0.5	brownian	1	2	1000	present	migrated
9	1000	10	0.5	brownian	1	3	1000	present	migrated
10	1000	10	0.5	brownian	1	1	1000	ancient	migrated
11	1000	10	0.5	brownian	1	2	1000	ancient	migrated
12	1000	10	0.5	brownian	1	3	1000	ancient	migrated
